ふりがな,エピソード,名前,アイドルタイプ,ドミナントアイドルタイプ,マイスタイル,レア度,特技レベル,レベル,親愛度,ボーカル,ダンス,ビジュアル,ライフ,ボイス,ソロ,入手枠,登録日,センター効果,センター効果説明,特技,特技説明
いまいかな,［気ままなタイニーミラクル］今井加奈＋,今井加奈,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,7181,3836,4658,44,FALSE,FALSE,恒常,'2022年3月14日',キュートボイス,キュートアイドルのボーカルアピール値90%アップ,PERFECTサポート,12秒毎、高確率で少しの間、GREAT/NICE/BADをPERFECTにする
ひのあかね,［軌跡のギフト］日野茜＋,日野茜,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,4644,3816,7207,44,TRUE,TRUE,限定,'2019年9月5日',パッションユニゾン,パッションアイドルの全アピール値30%アップ、パッション楽曲なら55%アップ,パッションアンサンブル,7秒毎、高確率でわずかな間、他のパッションアイドルのスコアアップ/COMBOボーナス効果を特大アップ
ふじわらはじめ,［久遠の誓い］藤原肇＋,藤原肇,クール,非該当,FALSE,ＳＳレア＋,10,90,600,9334,3624,2744,44,TRUE,TRUE,ブラン限定,'2024年10月30日',シンデレラウィッシュ,LIVEクリア時、中確率でスターピースを獲得,リフレイン,9秒毎、高確率で少しの間、LIVE中に発動した最も高いスコアアップ効果/COMBOボーナス効果を適用
みふねみゆ,［教室の白百合］三船美優＋,三船美優,クール,非該当,FALSE,ＳＳレア＋,10,90,600,4641,3796,7227,44,TRUE,TRUE,限定,'2021年4月4日',クールユニゾン,クールアイドルの全アピール値30%アップ、クール楽曲なら55%アップ,クールアンサンブル,13秒毎、高確率でかなりの間、他のクールアイドルのスコアアップ/COMBOボーナス効果を特大アップ
たかがきかえで,［暁のシュヴァリエ］高垣楓＋,高垣楓,クール,非該当,FALSE,ＳＳレア＋,10,90,600,4630,7230,3804,44,TRUE,TRUE,限定,'2023年5月4日',クールステップ,クールアイドルのダンスアピール値90%アップ,オーバードライブ,4秒毎、高確率で一瞬の間、COMBOボーナス20%アップ、PERFECTでライフ1回復、PERFECTのみCOMBO継続
あなすたしあ,［極光のしらべ］アナスタシア＋,アナスタシア,クール,非該当,FALSE,ＳＳレア＋,10,90,600,4596,3725,7381,44,TRUE,TRUE,ブラン限定,'2017年10月31日',トリコロール・アビリティ,3タイプ全てのアイドル編成時、全員の特技発動確率50%アップ,スキルブースト,10秒毎、高確率でかなりの間、他アイドルの特技効果を大アップ
むかいたくみ,［錦雅信念］向井拓海＋,向井拓海,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,4652,3832,7188,44,TRUE,TRUE,限定,'2019年1月4日',パッションチアー,パッションアイドルのみ編成時、全員のライフ40%アップ,ライフスパークル,13秒毎、高確率でかなりの間、ライフ値が多いほどCOMBOボーナスアップ
あなすたしあ,［錦秋の心化粧］アナスタシア＋,アナスタシア,クール,非該当,FALSE,ＳＳレア＋,10,90,600,3875,7124,4692,44,TRUE,TRUE,限定,'2022年11月4日',クールプリンセス,クールアイドルのみ編成時、全員の全アピール値50%アップ,オルタネイト,13秒毎、高確率でかなりの間、COMBOボーナス20%ダウン、LIVE中に発動した最も高いスコアアップ効果を極大アップして適用
みよしさな,［禁断のゲームマスター］三好紗南＋,三好紗南,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,7182,4654,3838,44,FALSE,FALSE,恒常,'2022年9月23日',パッションアビリティ,パッションアイドルの特技発動確率40%アップ,コーディネイト,11秒毎、高確率でしばらくの間、PERFECTのスコア10%アップ、COMBOボーナス15%アップ
どうみょうじかりん,［謹賀のお出迎え］道明寺歌鈴＋,道明寺歌鈴,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,4694,3873,7124,44,TRUE,TRUE,限定,'2021年1月4日',キュートプリンセス,キュートアイドルのみ編成時、全員の全アピール値50%アップ,オルタネイト,9秒毎、中確率でしばらくの間、COMBOボーナス20%ダウン、LIVE中に発動した最も高いスコアアップ効果を極大アップして適用
ふじわらはじめ,［吟風爽日］藤原肇＋,藤原肇,クール,非該当,FALSE,ＳＳレア＋,10,90,600,4679,3888,7124,44,TRUE,TRUE,限定,'2022年7月4日',クールプリンセス,クールアイドルのみ編成時、全員の全アピール値50%アップ,オルタネイト,6秒毎、中確率でわずかな間、COMBOボーナス20%ダウン、LIVE中に発動した最も高いスコアアップ効果を極大アップして適用
かみじょうはるな,［君色レンズ］上条春菜＋,上条春菜,クール,非該当,FALSE,ＳＳレア＋,10,90,600,4658,7184,3833,44,TRUE,TRUE,恒常,'2020年9月20日',クールステップ,クールアイドルのダンスアピール値90%アップ,チューニング,13秒毎、高確率でかなりの間、COMBOボーナス12%アップ、GREAT/NICEをPERFECTにする
えがみつばき,［薫風のみちびき］江上椿＋,江上椿,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,7196,3834,4643,44,FALSE,FALSE,恒常,'2023年5月13日',キュートボイス,キュートアイドルのボーカルアピール値90%アップ,フリックアクト,7秒毎、高確率で少しの間、PERFECTのスコア10%アップ、フリックアイコンなら40%アップ
むかいたくみ,［拳火上等］向井拓海＋,向井拓海,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,5054,5132,5518,88,TRUE,TRUE,限定,'2016年3月31日',パッションエナジー,パッションアイドルのライフ30%アップ,ライフ回復,11秒毎、高確率で少しの間、PERFECTでライフ3回復
まとばりさ,［見つめて★レディ］的場梨沙＋,的場梨沙,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,7180,3827,4673,44,TRUE,TRUE,恒常,'2020年1月22日',パッション・クロス・クール,パッションとクールのアイドル編成時、全員の全アピール値30%アップ、全員のライフ25%アップ,フリックアクト,11秒毎、高確率でかなりの間、PERFECTのスコア10%アップ、フリックアイコンなら40%アップ
かんざきらんこ,［幻想と神話の紡ぎ手］神崎蘭子＋,神崎蘭子,クール,非該当,FALSE,ＳＳレア＋,10,90,600,1671,11641,2388,44,TRUE,TRUE,ブラン限定,'2018年4月30日',シンデレラチャーム,LIVEクリア時、獲得ファン数が40%アップ,トリコロール・シナジー,3タイプ全てのアイドル編成時、11秒毎、高確率でしばらくの間、PERFECTのスコア16%アップ/ライフ1回復、COMBOボーナス15%アップ
たかがきかえで,［言祝ぐ燦華］高垣楓＋,高垣楓,クール,非該当,FALSE,ＳＳレア＋,10,90,600,6253,4699,4969,44,TRUE,TRUE,限定,'2025年1月6日',クールユニゾン,クールアイドルの全アピール値30%アップ、クール楽曲なら55%アップ,クールアンサンブル,13秒毎、高確率でかなりの間、他のクールアイドルのスコアアップ/COMBOボーナス効果を特大アップ
じょうがさきみか,［孤星のプライド］城ヶ崎美嘉＋,城ヶ崎美嘉,パッション,クール,FALSE,ＳＳレア＋,10,90,600,58,7711,7902,44,TRUE,TRUE,ドミナント限定,'2023年10月22日',ドミナント・デュエット（ステップ＆メイク）,クール楽曲でパッションアイドルにタイプボーナスが発生しダンスアピール値150%アップ、クールアイドルのビジュアルアピール値160%アップ,ドミナント・ハーモニー,クール楽曲でパッションとクールのアイドルのみ編成時、13秒毎、高確率でかなりの間、パッションアイドルのスコアアップ効果と、クールアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ
ほりゆうこ,［五行相克・陰陽ぱわー］堀裕子＋,堀裕子,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,3887,4680,7124,44,TRUE,TRUE,限定,'2023年3月4日',パッションプリンセス,パッションアイドルのみ編成時、全員の全アピール値50%アップ,オルタネイト,6秒毎、中確率でわずかな間、COMBOボーナス20%ダウン、LIVE中に発動した最も高いスコアアップ効果を極大アップして適用
ふじいとも,［幸せのお告げ］藤居朋＋,藤居朋,クール,非該当,FALSE,ＳＳレア＋,10,90,600,7145,3867,4675,44,FALSE,FALSE,恒常,'2019年9月20日',クールボイス,クールアイドルのボーカルアピール値90%アップ,コンセントレーション,11秒毎、中確率でかなりの間、PERFECTのスコア22%アップ、PERFECT判定される時間が短くなる
たかふじかこ,［幸せの招き手］鷹富士茄子＋,鷹富士茄子,クール,非該当,FALSE,ＳＳレア＋,10,90,600,9334,2745,3624,44,TRUE,TRUE,ブラン限定,'2024年12月27日',トリコロール・ユニゾン,3タイプ全てのアイドル編成時、全員の全アピール値40%アップ、全タイプ楽曲なら80%アップ,トリコロール・スパイク,全タイプ楽曲で3タイプ全てのアイドル編成時、9秒毎、高確率でライフを25消費し、少しの間、PERFECTのスコア18%アップ、COMBOボーナス17%アップ
くどうしのぶ,［幸せを見つけに］工藤忍＋,工藤忍,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,4649,7189,3837,44,FALSE,FALSE,恒常,'2021年12月13日',キュートアビリティ,キュートアイドルの特技発動確率40%アップ,コーディネイト,7秒毎、高確率でわずかな間、PERFECTのスコア10%アップ、COMBOボーナス15%アップ
たかふじかこ,［幸福の待ち人］鷹富士茄子＋,鷹富士茄子,クール,非該当,FALSE,ＳＳレア＋,10,90,600,7903,7709,59,44,TRUE,TRUE,限定,'2023年6月4日',クールデュエット（ボイス＆ステップ）,クールアイドルのみ編成時、クール楽曲で全員のボーカル＆ダンスアピール値100%アップ,ミューチャル,6秒毎、中確率でわずかな間、スコア20%ダウン、LIVE中に発動した最も高いCOMBOボーナス効果を極大アップして適用
むらかみともえ,［紅の誓い］村上巴＋,村上巴,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,9334,3624,2744,44,TRUE,TRUE,ブラン限定,'2023年4月29日',シンデレラウィッシュ,LIVEクリア時、中確率でスターピースを獲得,リフレイン,7秒毎、高確率でわずかな間、LIVE中に発動した最も高いスコアアップ効果/COMBOボーナス効果を適用
たかもりあいこ,［黒き森の乙女］高森藍子＋,高森藍子,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,14,8,616,44,TRUE,TRUE,ノワール限定,'2021年8月16日',シンデレラブレス,ゲストを含むユニット編成アイドル全員のセンター効果を発揮し、最も高い効果を適用,シンデレラマジック,12秒毎、中確率でしばらくの間、ユニット編成アイドル全員の特技効果を発動し、最も高い効果を適用
さくらいももか,［黒薔薇は小夜に咲く］櫻井桃華＋,櫻井桃華,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,2776,9278,3649,44,TRUE,TRUE,ブラン限定,'2020年2月29日',シンデレラエール,LIVEクリア時、獲得経験値/マニー/友情ptが50%アップ,トリコロール・シンフォニー,3タイプ全てのアイドル編成時、9秒毎、高確率で少しの間、他アイドルのスコアアップ/COMBOボーナス効果を特大アップ、他特技効果を大アップ
くろさきちとせ,［此岸の逢瀬］黒埼ちとせ＋,黒埼ちとせ,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,3790,4645,7229,44,TRUE,TRUE,限定,'2021年7月4日',キュートメイク,キュートアイドルのビジュアルアピール値90%アップ,オーバーロード,4秒毎、高確率でライフを6消費し、一瞬の間PERFECT/GREATのスコア20%アップ、NICE/BADでもCOMBO継続
いぶさんたくろーす,［今日だってスペシャル］イヴ・サンタクロース＋,イヴ・サンタクロース,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,3656,9282,2765,44,TRUE,TRUE,ブラン限定,'2024年8月30日',トリコロール・ユニゾン,3タイプ全てのアイドル編成時、全員の全アピール値40%アップ、全タイプ楽曲なら80%アップ,トリコロール・スパイク,全タイプ楽曲で3タイプ全てのアイドル編成時、11秒毎、高確率でライフを28消費し、しばらくの間、PERFECTのスコア18%アップ、COMBOボーナス17%アップ
せなしおり,［昏い海には愛の歌を］瀬名詩織＋,瀬名詩織,クール,非該当,FALSE,ＳＳレア＋,10,90,600,4645,3841,7188,44,FALSE,FALSE,恒常,'2022年4月22日',クールメイク,クールアイドルのビジュアルアピール値90%アップ,コーディネイト,11秒毎、高確率でしばらくの間、PERFECTのスコア10%アップ、COMBOボーナス15%アップ
ほりゆうこ,［彩☆きっく乙女］堀裕子＋,堀裕子,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,4649,7196,3828,44,TRUE,TRUE,限定,'2019年7月4日',パッションチアー,パッションアイドルのみ編成時、全員のライフ40%アップ,ライフスパークル,9秒毎、高確率で少しの間、ライフ値が多いほどCOMBOボーナスアップ
しぶやりん,［咲きすさぶ青嵐］渋谷凛＋,渋谷凛,クール,非該当,FALSE,ＳＳレア＋,10,90,600,4689,3879,7124,44,TRUE,TRUE,限定,'2021年7月4日',クールプリンセス,クールアイドルのみ編成時、全員の全アピール値50%アップ,オルタネイト,9秒毎、中確率でしばらくの間、COMBOボーナス20%ダウン、LIVE中に発動した最も高いスコアアップ効果を極大アップして適用
むらかみともえ,［姉御の心粋］村上巴＋,村上巴,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,7132,3878,4680,44,TRUE,TRUE,限定,'2018年5月3日',パッションチアー,パッションアイドルのみ編成時、全員のライフ40%アップ,ライフスパークル,13秒毎、高確率でかなりの間、ライフ値が多いほどCOMBOボーナスアップ
こばやかわさえ,［思ひ出になる今日へ］小早川紗枝＋,小早川紗枝,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,4679,3888,7124,44,TRUE,TRUE,限定,'2022年4月4日',キュートプリンセス,キュートアイドルのみ編成時、全員の全アピール値50%アップ,オルタネイト,11秒毎、中確率でかなりの間、COMBOボーナス20%ダウン、LIVE中に発動した最も高いスコアアップ効果を極大アップして適用
うじいえむつみ,［止まらない冒険心］氏家むつみ＋,氏家むつみ,クール,非該当,FALSE,ＳＳレア＋,10,90,600,7178,4667,3832,44,FALSE,FALSE,恒常,'2020年12月23日',クールボイス,クールアイドルのボーカルアピール値90%アップ,ロングアクト,11秒毎、高確率でかなりの間、PERFECTのスコア10%アップ、ロングアイコンなら40%アップ
おがたちえり,［私とあなたの楽園］緒方智絵里＋,緒方智絵里,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,8,14,616,44,TRUE,TRUE,ノワール限定,'2022年12月16日',シンデレラブレス,ゲストを含むユニット編成アイドル全員のセンター効果を発揮し、最も高い効果を適用,シンデレラマジック,12秒毎、中確率でしばらくの間、ユニット編成アイドル全員の特技効果を発動し、最も高い効果を適用
いむらせつな,［私に恋をする私］井村雪菜＋,井村雪菜,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,3865,4652,7161,44,FALSE,FALSE,恒常,'2019年12月19日',キュートメイク,キュートアイドルのビジュアルアピール値90%アップ,コーディネイト,11秒毎、高確率でしばらくの間、PERFECTのスコア10%アップ、COMBOボーナス15%アップ
おかざきやすは,［私の中に眠るもの］岡崎泰葉＋,岡崎泰葉,クール,非該当,FALSE,ＳＳレア＋,10,90,600,3838,4645,7189,44,FALSE,FALSE,恒常,'2022年10月13日',クール・クロス・キュート,クールとキュートのアイドル編成時、全員の全アピール値30%アップ、全員の特技発動率35%アップ,スライドアクト,9秒毎、高確率でしばらくの間、PERFECTのスコア10%アップ、スライドアイコンなら40%アップ
こしみずさちこ,［自称・アイの女王］輿水幸子＋,輿水幸子,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,8,616,14,44,TRUE,TRUE,ノワール限定,'2022年3月17日',シンデレラブレス,ゲストを含むユニット編成アイドル全員のセンター効果を発揮し、最も高い効果を適用,シンデレラマジック,12秒毎、中確率でしばらくの間、ユニット編成アイドル全員の特技効果を発動し、最も高い効果を適用
こしみずさちこ,［自称・カンペキ］輿水幸子＋,輿水幸子,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,4920,5867,5077,44,TRUE,TRUE,恒常,'2015年12月14日',キュートブリリアンス,キュートアイドルの全アピール値40%アップ,SCOREボーナス,11秒毎、高確率でしばらくの間、PERFECT/GREATのスコア17%アップ
こしみずさちこ,［自称・スウィートヒロイン］輿水幸子＋,輿水幸子,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,4596,7381,3725,44,TRUE,TRUE,ブラン限定,'2016年9月28日',トリコロール・ステップ,3タイプ全てのアイドル編成時、全員のダンスアピール値100%アップ,COMBOボーナス,6秒毎、中確率でわずかな間、COMBOボーナス18%アップ
こしみずさちこ,［自称・パーリーピーポー］輿水幸子＋,輿水幸子,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,7188,3832,4652,44,TRUE,TRUE,限定,'2017年7月2日',キュートプリンセス,キュートアイドルのみ編成時、全員の全アピール値50%アップ,キュートフォーカス,キュートアイドルのみ編成時、7秒毎、高確率でわずかな間、PERFECTのスコア16%アップ、COMBOボーナス14%アップ
こしみずさちこ,［自称・プリンス］輿水幸子＋,輿水幸子,キュート,クール,FALSE,ＳＳレア＋,10,90,600,7711,7902,58,44,TRUE,TRUE,ドミナント限定,'2024年2月19日',ドミナント・デュエット（ボイス＆ステップ）,クール楽曲でキュートアイドルにタイプボーナスが発生しボーカルアピール値150%アップ、クールアイドルのダンスアピール値160%アップ,ドミナント・ハーモニー,クール楽曲でキュートとクールのアイドルのみ編成時、13秒毎、高確率でかなりの間、キュートアイドルのスコアアップ効果と、クールアイドルのCOMBOボーナス効果をそれぞれの人数に応じてアップ
こしみずさちこ,［自称・愛しい花嫁］輿水幸子＋,輿水幸子,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,7124,3881,4687,44,TRUE,TRUE,限定,'2023年6月4日',キュートプリンセス,キュートアイドルのみ編成時、全員の全アピール値50%アップ,オルタネイト,6秒毎、中確率でわずかな間、COMBOボーナス20%ダウン、LIVE中に発動した最も高いスコアアップ効果を極大アップして適用
こしみずさちこ,［自称・街の人気者］輿水幸子＋,輿水幸子,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,7182,4657,3833,44,TRUE,TRUE,恒常,'2020年9月14日',キュートボイス,キュートアイドルのボーカルアピール値90%アップ,フリックアクト,11秒毎、高確率でかなりの間、PERFECTのスコア10%アップ、フリックアイコンなら40%アップ
こしみずさちこ,［自称・魔法少女］輿水幸子＋,輿水幸子,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,3837,4655,7182,44,TRUE,TRUE,限定,'2018年9月30日',キュートチアー,キュートアイドルのみ編成時、全員のライフ40%アップ,ライフスパークル,7秒毎、高確率でわずかな間、ライフ値が多いほどCOMBOボーナスアップ
こしみずさちこ,［自称・万物に愛されし者］輿水幸子＋,輿水幸子,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,3624,9334,2745,44,TRUE,TRUE,ブラン限定,'2025年2月27日',トリコロール・ユニゾン,3タイプ全てのアイドル編成時、全員の全アピール値40%アップ、全タイプ楽曲なら80%アップ,トリコロール・スパイク,全タイプ楽曲で3タイプ全てのアイドル編成時、9秒毎、高確率でライフを25消費し、少しの間、PERFECTのスコア18%アップ、COMBOボーナス17%アップ
にのみやあすか,［灼熱のリベリオン］二宮飛鳥＋,二宮飛鳥,クール,非該当,FALSE,ＳＳレア＋,10,90,600,4649,3828,7196,44,TRUE,TRUE,限定,'2018年11月3日',クールチアー,クールアイドルのみ編成時、全員のライフ40%アップ,ライフスパークル,11秒毎、高確率でしばらくの間、ライフ値が多いほどCOMBOボーナスアップ
しらぎくほたる,［手折られぬ花］白菊ほたる＋,白菊ほたる,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,4706,3918,7081,44,TRUE,TRUE,恒常,'2017年7月24日',キュートメイク,キュートアイドルのビジュアルアピール値90%アップ,SCOREボーナス,6秒毎、中確率でわずかな間、PERFECT/GREATのスコア17%アップ
ふじわらはじめ,［朱華色の夢］藤原肇＋,藤原肇,クール,非該当,FALSE,ＳＳレア＋,10,90,600,4649,7196,3828,44,TRUE,TRUE,限定,'2019年5月3日',クールチアー,クールアイドルのみ編成時、全員のライフ40%アップ,ライフスパークル,13秒毎、高確率でかなりの間、ライフ値が多いほどCOMBOボーナスアップ
ひさかわはやて,［秋風恋歌］久川颯＋,久川颯,クール,非該当,FALSE,ＳＳレア＋,10,90,600,7227,4641,3796,44,TRUE,TRUE,限定,'2023年11月4日',クールボイス,クールアイドルのボーカルアピール値90%アップ,オーバーロード,7秒毎、高確率でライフを11消費し、少しの間PERFECT/GREATのスコア20%アップ、NICE/BADでもCOMBO継続
とときあいり,［終わらぬ夜のハニー・マギア］十時愛梨＋,十時愛梨,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,4688,6261,4973,44,TRUE,TRUE,限定,'2023年10月4日',パッションブリリアンス,パッションアイドルの全アピール値40%アップ,オーバーロード,6秒毎、高確率でライフを9消費し、わずかな間PERFECT/GREATのスコア20%アップ、NICE/BADでもCOMBO継続
ざいぜんときこ,［終宵のエンプレス］財前時子＋,財前時子,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,616,8,14,44,FALSE,FALSE,ノワール限定,'2023年9月17日',シンデレラブレス,ゲストを含むユニット編成アイドル全員のセンター効果を発揮し、最も高い効果を適用,シンデレラマジック,12秒毎、中確率でしばらくの間、ユニット編成アイドル全員の特技効果を発動し、最も高い効果を適用
あいばゆみ,［重ねた花びら］相葉夕美＋,相葉夕美,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,3828,7196,4649,44,TRUE,TRUE,限定,'2017年1月31日',パッションステップ,パッションアイドルのダンスアピール値90%アップ,COMBOボーナス,13秒毎、高確率でかなりの間、COMBOボーナス18%アップ
さじょうゆきみ,［重ねた手と日々］佐城雪美＋,佐城雪美,クール,非該当,FALSE,ＳＳレア＋,10,90,600,7145,4675,3867,44,TRUE,TRUE,恒常,'2019年9月24日',クール・クロス・キュート,クールとキュートのアイドル編成時、全員の全アピール値30%アップ、全員の特技発動率35%アップ,スライドアクト,11秒毎、高確率でかなりの間、PERFECTのスコア10%アップ、スライドアイコンなら40%アップ
かんざきらんこ,［祝宴の白姫］神崎蘭子＋,神崎蘭子,クール,非該当,FALSE,ＳＳレア＋,10,90,600,3816,4644,7207,44,TRUE,TRUE,限定,'2019年9月5日',クールチアー,クールアイドルのみ編成時、全員のライフ40%アップ,ライフスパークル,7秒毎、高確率でわずかな間、ライフ値が多いほどCOMBOボーナスアップ
かんざきらんこ,［祝福のシュトラール］神崎蘭子＋,神崎蘭子,クール,非該当,FALSE,ＳＳレア＋,10,90,600,3880,7124,4688,44,TRUE,TRUE,限定,'2020年12月4日',クールプリンセス,クールアイドルのみ編成時、全員の全アピール値50%アップ,オルタネイト,11秒毎、中確率でかなりの間、COMBOボーナス20%ダウン、LIVE中に発動した最も高いスコアアップ効果を極大アップして適用
くらりす,［祝福のまなざし］クラリス＋,クラリス,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,3918,4706,7081,44,FALSE,FALSE,恒常,'2017年12月18日',キュートメイク,キュートアイドルのビジュアルアピール値90%アップ,SCOREボーナス,4秒毎、高確率で一瞬の間、PERFECT/GREATのスコア17%アップ
いぶさんたくろーす,［祝福の花をあなたに］イヴ・サンタクロース＋,イヴ・サンタクロース,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,7198,4648,3827,44,TRUE,TRUE,限定,'2020年5月31日',パッションボイス,パッションアイドルのボーカルアピール値90%アップ,COMBOボーナス,6秒毎、中確率でわずかな間、COMBOボーナス18%アップ
せきひろみ,［出逢えた憧憬］関裕美＋,関裕美,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,3883,7126,4683,44,TRUE,TRUE,恒常,'2017年3月22日',キュートステップ,キュートアイドルのダンスアピール値90%アップ,コンセントレーション,11秒毎、高確率でしばらくの間、PERFECTのスコア22%アップ、PERFECT判定される時間が短くなる
ほうじょうかれん,［春霞の彼方］北条加蓮＋,北条加蓮,クール,非該当,FALSE,ＳＳレア＋,10,90,600,15,7,616,44,TRUE,TRUE,ノワール限定,'2021年4月16日',シンデレラブレス,ゲストを含むユニット編成アイドル全員のセンター効果を発揮し、最も高い効果を適用,シンデレラマジック,12秒毎、中確率でしばらくの間、ユニット編成アイドル全員の特技効果を発動し、最も高い効果を適用
ほうじょうかれん,［春風が吹く頃に］北条加蓮＋,北条加蓮,クール,非該当,FALSE,ＳＳレア＋,10,90,600,7898,7714,58,44,TRUE,TRUE,限定,'2022年4月4日',クールデュエット（ボイス＆ステップ）,クールアイドルのみ編成時、クール楽曲で全員のボーカル＆ダンスアピール値100%アップ,ミューチャル,11秒毎、中確率でかなりの間、スコア20%ダウン、LIVE中に発動した最も高いCOMBOボーナス効果を極大アップして適用
やぐちみう,［純心ファニーバニー］矢口美羽＋,矢口美羽,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,4659,7188,3823,44,FALSE,FALSE,恒常,'2022年11月13日',パッションステップ,パッションアイドルのダンスアピール値90%アップ,ロングアクト,11秒毎、高確率でかなりの間、PERFECTのスコア10%アップ、ロングアイコンなら40%アップ
もちづきひじり,［純白の聖女］望月聖＋,望月聖,クール,非該当,FALSE,ＳＳレア＋,10,90,600,2765,3656,9282,44,TRUE,TRUE,ブラン限定,'2023年12月30日',トリコロール・ユニゾン,3タイプ全てのアイドル編成時、全員の全アピール値40%アップ、全タイプ楽曲なら80%アップ,トリコロール・スパイク,全タイプ楽曲で3タイプ全てのアイドル編成時、11秒毎、高確率でライフを28消費し、しばらくの間、PERFECTのスコア18%アップ、COMBOボーナス17%アップ
おくやまさおり,［純朴の若草］奥山沙織＋,奥山沙織,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,3859,4649,7169,44,FALSE,FALSE,恒常,'2020年7月10日',キュートメイク,キュートアイドルのビジュアルアピール値90%アップ,コーディネイト,9秒毎、高確率で少しの間、PERFECTのスコア10%アップ、COMBOボーナス15%アップ
たかふじかこ,［巡り会えた彩り］鷹富士茄子＋,鷹富士茄子,クール,非該当,FALSE,ＳＳレア＋,10,90,600,7095,3908,4700,44,TRUE,TRUE,恒常,'2018年10月11日',クールアビリティ,クールアイドルの特技発動確率40%アップ,コーディネイト,9秒毎、高確率で少しの間、PERFECTのスコア10%アップ、COMBOボーナス15%アップ
みずもとゆかり,［巡り巡るシンフォニー］水本ゆかり＋,水本ゆかり,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,11641,1666,2393,44,TRUE,TRUE,ブラン限定,'2022年2月27日',シンデレラチャーム,LIVEクリア時、獲得ファン数が40%アップ,トリコロール・シナジー,3タイプ全てのアイドル編成時、7秒毎、高確率でわずかな間、PERFECTのスコア16%アップ/ライフ1回復、COMBOボーナス15%アップ
しらゆきちよ,［巡る朝、夏の夢］白雪千夜＋,白雪千夜,キュート,非該当,FALSE,ＳＳレア＋,10,90,600,3801,4633,7230,44,TRUE,TRUE,限定,'2023年7月4日',キュートメイク,キュートアイドルのビジュアルアピール値90%アップ,オーバードライブ,4秒毎、高確率で一瞬の間、COMBOボーナス20%アップ、PERFECTでライフ1回復、PERFECTのみCOMBO継続
よりたよしの,［渚の夏乙女］依田芳乃＋,依田芳乃,パッション,非該当,FALSE,ＳＳレア＋,10,90,600,7124,4676,3890,44,TRUE,TRUE,限定,'2022年8月4日',パッションプリンセス,パッションアイドルのみ編成時、全員の全アピール値50%アップ,オルタネイト,11秒毎、中確率でかなりの間、COMBOボーナス20%ダウン、LIVE中に発動した最も高いスコアアップ効果を極大アップして適用
にったみなみ,［渚の花嫁］新田美波＋,新田美波,クール,非該当,FALSE,ＳＳレア＋,10,90,600,3858,7157,4669,44,TRUE,TRUE,限定,'2018年5月31日',クールプリンセス,クールアイドルのみ編成時、全員の全アピール値50%アップ,クールフォーカス,クールアイドルのみ編成時、9秒毎、高確率で少しの間、PERFECTのスコア16%アップ、COMBOボーナス14%アップ
にったみなみ,［女神は朝焼けの海に］新田美波＋,新田美波,クール,非該当,FALSE,ＳＳレア＋,10,90,600,9282,3653,2768,44,TRUE,TRUE,ブラン限定,'2020年4月30日',シンデレラエール,LIVEクリア時、獲得経験値/マニー/友情ptが50%アップ,トリコロール・シンフォニー,3タイプ全てのアイドル編成時、9秒毎、高確率で少しの間、他アイドルのスコアアップ/COMBOボーナス効果を特大アップ、他特技効果を大アップ
